iter	Passed	Remaining
270	3116	10683
271	3128	10674
272	3137	10652
273	3145	10630
274	3157	10621
275	3167	10602
276	3179	10593
277	3187	10573
278	3200	10565
279	3212	10553
280	3221	10534
281	3232	10521
282	3241	10503
283	3253	10492
284	3263	10478
285	3274	10465
286	3286	10455
287	3295	10436
288	3312	10440
289	3325	10435
290	3340	10433
291	3353	10429
292	3371	10436
293	3379	10415
294	3390	10402
295	3399	10383
296	3409	10364
297	3420	10352
298	3429	10333
299	3440	10321
300	3449	10303
301	3460	10289
302	3470	10272
303	3480	10259
304	3489	10240
305	3498	10221
306	3507	10202
307	3515	10182
308	3526	10167
309	3535	10150
310	3544	10132
311	3555	10119
312	3563	10099
313	3574	10087
314	3583	10068
315	3592	10050
316	3603	10038
317	3613	10022
318	3623	10008
319	3632	9988
320	3640	9970
321	3652	9958
322	3661	9942
323	3675	9937
324	3692	9941
325	3702	9925
326	3714	9917
327	3732	9922
328	3741	9906
329	3750	9888
330	3761	9876
331	3770	9858
332	3781	9844
333	3790	9828
334	3798	9808
335	3808	9794
336	3817	9775
337	3825	9755
338	3836	9743
339	3845	9726
340	3854	9710
341	3864	9694
342	3872	9676
343	3884	9665
344	3894	9650
345	3904	9638
346	3913	9621
347	3928	9616
348	3939	9607
349	3948	9589
350	3960	9579
351	3970	9564
352	3984	9560
353	3996	9549
354	4004	9532
355	4014	9516
356	4023	9501
357	4034	9488
358	4055	9500
359	4064	9482
360	4074	9469
361	4083	9452
362	4092	9436
363	4103	9425
364	4112	9408
365	4123	9396
366	4132	9379
367	4140	9361
368	4151	9349
369	4160	9333
370	4171	9321
371	4180	9304
372	4191	9292
373	4200	9277
374	4209	9261
375	4220	9249
376	4229	9232
377	4240	9220
378	4249	9204
379	4257	9187
380	4268	9175
381	4277	9159
382	4288	9148
383	4298	9133
384	4309	9122
385	4318	9106
386	4328	9093
387	4337	9077
388	4346	9062
389	4358	9051
390	4368	9037
391	4381	9030
392	4392	9019
393	4402	9006
394	4413	8994
395	4422	8978
396	4433	8967
397	4442	8951
398	4453	8939
399	4462	8924
400	4471	8908
401	4482	8897
402	4491	8881
403	4502	8871
404	4512	8857
405	4523	8846
406	4532	8831
407	4544	8820
408	4552	8804
409	4563	8793
410	4572	8777
411	4581	8762
412	4592	8750
413	4602	8737
414	4613	8726
415	4625	8717
416	4636	8706
417	4661	8721
418	4680	8724
419	4689	8709
420	4701	8699
421	4710	8685
422	4720	8670
423	4729	8655
424	4740	8644
425	4749	8629
426	4760	8618
427	4769	8602
428	4779	8590
429	4789	8575
430	4798	8561
431	4809	8550
432	4819	8536
433	4830	8524
434	4838	8509
435	4851	8501
436	4870	8503
437	4880	8490
438	4892	8481
439	4907	8476
440	4919	8467
441	4928	8451
442	4938	8438
443	4947	8424
444	4956	8409
445	4967	8397
446	4976	8382
447	4986	8369
448	4995	8355
449	5005	8341
450	5017	8332
451	5026	8317
452	5035	8303
453	5044	8289
454	5055	8278
455	5064	8263
456	5075	8252
457	5084	8236
458	5093	8222
459	5102	8208
460	5112	8194
461	5122	8183
462	5131	8167
463	5142	8156
464	5152	8144
465	5163	8133
466	5172	8118
467	5180	8103
468	5191	8092
469	5200	8077
470	5212	8067
471	5221	8054
472	5232	8042
473	5241	8028
474	5249	8013
475	5260	8001
476	5269	7987
477	5281	7976
478	5289	7961
479	5297	7946
480	5323	7958
481	5332	7943
482	5343	7932
483	5352	7918
484	5363	7907
485	5372	7893
486	5381	7878
487	5390	7865
488	5399	7851
489	5411	7840
490	5424	7832
491	5434	7820
492	5446	7810
493	5459	7802
494	5468	7788
495	5479	7777
496	5488	7763
497	5499	7752
498	5508	7737
499	5516	7723
500	5528	7713
501	5537	7699
502	5548	7688
503	5557	7674
504	5570	7666
505	5584	7659
506	5598	7651
507	5609	7641
508	5619	7628
509	5631	7618
510	5640	7605
511	5651	7594
512	5660	7580
513	5671	7569
514	5680	7555
515	5689	7541
516	5698	7528
517	5707	7514
518	5718	7503
519	5727	7489
520	5739	7480
521	5748	7466
522	5760	7456
523	5768	7442
524	5781	7433
525	5794	7424
526	5802	7410
527	5814	7399
528	5824	7387
529	5837	7379
530	5849	7369
531	5858	7355
532	5869	7344
533	5877	7330
534	5887	7318
535	5898	7306
536	5906	7292
537	5917	7281
538	5926	7267
539	5935	7254
540	5946	7243
541	5955	7230
542	5966	7219
543	5976	7206
544	5988	7197
545	6000	7187
546	6010	7175
547	6021	7164
548	6030	7150
549	6038	7136
550	6049	7125
551	6059	7112
552	6070	7101
553	6078	7087
554	6087	7074
555	6096	7061
556	6105	7047
557	6116	7036
558	6124	7023
559	6135	7012
560	6145	6999
561	6154	6986
562	6163	6973
563	6172	6960
564	6183	6949
565	6192	6936
566	6200	6922
567	6211	6911
568	6220	6898
569	6232	6888
570	6241	6875
571	6253	6865
572	6262	6852
573	6273	6842
574	6282	6828
575	6293	6818
576	6302	6804
577	6314	6795
578	6336	6796
579	6356	6795
580	6373	6790
581	6399	6795
582	6418	6792
583	6433	6786
584	6456	6787
585	6477	6786
586	6504	6793
587	6524	6790
588	6538	6783
589	6552	6774
590	6573	6773
591	6585	6763
592	6599	6755
593	6615	6749
594	6627	6738
595	6638	6727
596	6648	6715
597	6662	6706
598	6671	6693
599	6680	6680
600	6689	6666
601	6700	6655
602	6710	6643
603	6721	6632
604	6730	6619
605	6741	6607
606	6749	6594
607	6760	6582
608	6769	6569
609	6778	6556
610	6790	6545
611	6799	6532
612	6810	6521
613	6818	6508
614	6830	6496
615	6838	6483
616	6847	6470
617	6859	6460
618	6869	6447
619	6879	6436
620	6889	6423
621	6900	6411
622	6908	6398
623	6919	6386
624	6928	6373
625	6937	6361
626	6948	6350
627	6957	6336
628	6969	6326
629	6977	6313
630	6989	6302
631	6998	6290
632	7010	6279
633	7020	6267
634	7031	6256
635	7043	6246
636	7058	6238
637	7072	6229
638	7082	6218
639	7096	6209
640	7110	6200
641	7120	6189
642	7132	6178
643	7142	6166
644	7154	6156
645	7163	6143
646	7175	6132
647	7187	6123
648	7197	6110
649	7209	6100
650	7218	6087
651	7229	6076
652	7237	6063
653	7248	6051
654	7257	6038
655	7266	6026
656	7278	6015
657	7287	6002
658	7298	5991
659	7308	5979
660	7317	5967
661	7326	5954
662	7337	5943
663	7346	5930
664	7355	5917
665	7364	5904
666	7375	5893
667	7384	5881
668	7394	5868
669	7405	5858
670	7415	5845
671	7425	5834
672	7434	5821
673	7446	5811
674	7454	5798
675	7466	5787
676	7475	5775
677	7486	5763
678	7495	5751
679	7503	5738
680	7521	5732
681	7529	5719
682	7538	5706
683	7550	5695
684	7562	5685
685	7575	5676
686	7585	5664
687	7598	5654
688	7608	5642
689	7617	5630
690	7629	5619
691	7638	5607
692	7650	5597
693	7661	5585
694	7672	5574
695	7681	5562
696	7692	5551
697	7702	5539
698	7714	5529
699	7723	5516
700	7734	5505
701	7743	5493
702	7754	5482
703	7763	5469
704	7771	5456
705	7783	5446
706	7792	5433
707	7803	5422
708	7812	5410
709	7822	5398
710	7831	5386
711	7839	5373
712	7850	5362
713	7859	5349
714	7870	5338
715	7879	5326
716	7890	5315
717	7900	5303
718	7909	5291
719	7920	5280
720	7929	5267
721	7940	5257
722	7949	5244
723	7960	5233
724	7969	5221
725	7981	5210
726	7990	5198
727	8001	5187
728	8010	5175
729	8019	5163
730	8030	5152
731	8039	5139
732	8049	5128
733	8058	5116
734	8067	5104
735	8078	5093
736	8087	5081
737	8099	5070
738	8108	5058
739	8119	5047
740	8127	5034
741	8136	5021
742	8147	5011
743	8156	4999
744	8166	4987
745	8174	4975
746	8184	4963
747	8196	4952
748	8204	4940
749	8215	4929
750	8224	4916
751	8232	4904
752	8243	4893
753	8252	4881
754	8260	4869
755	8269	4856
756	8278	4844
757	8288	4833
758	8297	4821
759	8306	4809
760	8317	4798
761	8326	4785
762	8334	4773
763	8343	4761
764	8353	4749
765	8364	4739
766	8373	4727
767	8384	4716
768	8393	4704
769	8404	4693
770	8413	4681
771	8421	4669
772	8432	4658
773	8441	4645
774	8451	4634
775	8460	4622
776	8469	4610
777	8480	4600
778	8489	4588
779	8501	4577
780	8510	4565
781	8521	4554
782	8530	4542
783	8538	4530
784	8549	4520
785	8559	4508
786	8570	4497
787	8578	4485
788	8587	4473
789	8597	4462
790	8607	4450
791	8617	4439
792	8626	4427
793	8634	4415
794	8646	4404
795	8655	4393
796	8665	4381
797	8674	4369
798	8683	4357
799	8694	4347
800	8703	4335
801	8715	4324
802	8723	4312
803	8734	4302
804	8743	4290
805	8752	4278
806	8763	4267
807	8772	4255
808	8783	4245
809	8791	4233
810	8800	4221
811	8812	4210
812	8821	4199
813	8832	4188
814	8841	4176
815	8852	4165
816	8861	4154
817	8871	4142
818	8881	4131
819	8890	4119
820	8900	4108
821	8913	4099
822	8923	4087
823	8935	4077
824	8945	4066
825	8957	4055
826	8969	4045
827	8978	4033
828	8989	4022
829	8997	4010
830	9005	3998
831	9013	3986
832	9024	3976
833	9032	3963
834	9040	3951
835	9048	3939
836	9058	3928
837	9066	3916
838	9074	3904
839	9082	3892
840	9091	3881
841	9099	3869
842	9107	3857
843	9115	3845
844	9126	3834
845	9134	3822
846	9142	3810
847	9150	3798
848	9158	3786
849	9167	3774
850	9175	3762
851	9183	3751
852	9192	3739
853	9202	3728
854	9211	3716
855	9220	3705
856	9230	3694
857	9238	3682
858	9249	3671
859	9258	3660
860	9266	3648
861	9277	3637
862	9286	3626
863	9298	3615
864	9307	3604
865	9318	3593
866	9327	3582
867	9338	3572
868	9347	3560
869	9356	3549
870	9366	3538
871	9375	3526
872	9385	3515
873	9395	3504
874	9403	3492
875	9414	3482
876	9424	3471
877	9436	3460
878	9444	3449
879	9455	3438
880	9464	3427
881	9475	3416
882	9484	3404
883	9493	3393
884	9504	3382
885	9513	3371
886	9524	3361
887	9534	3349
888	9545	3339
889	9553	3327
890	9562	3316
891	9575	3306
892	9587	3296
893	9596	3284
894	9607	3274
895	9616	3262
896	9627	3252
897	9637	3241
898	9648	3230
899	9656	3218
900	9666	3207
901	9676	3197
902	9686	3185
903	9697	3175
904	9706	3164
905	9717	3153
906	9727	3142
907	9740	3132
908	9753	3122
909	9766	3112
910	9780	3102
911	9792	3092
912	9806	3082
913	9816	3071
914	9827	3061
915	9836	3049
916	9849	3039
917	9861	3029
918	9870	3018
919	9882	3007
920	9892	2996
921	9902	2985
922	9911	2974
923	9920	2963
924	9931	2952
925	9941	2941
926	9953	2931
927	9962	2919
928	9973	2909
929	9982	2898
930	9993	2887
931	10002	2876
932	10012	2865
933	10021	2854
934	10033	2843
935	10043	2832
936	10057	2822
937	10069	2812
938	10079	2801
939	10090	2790
940	10098	2779
941	10109	2768
942	10118	2757
943	10127	2746
944	10138	2735
945	10147	2724
946	10159	2714
947	10168	2702
948	10179	2692
949	10187	2680
950	10198	2670
951	10207	2659
952	10216	2647
953	10227	2637
954	10236	2626
955	10248	2615
956	10257	2604
957	10268	2594
958	10278	2582
959	10289	2572
960	10298	2561
961	10308	2550
962	10317	2539
963	10326	2528
964	10338	2517
965	10347	2506
966	10359	2496
967	10368	2484
968	10379	2474
969	10388	2463
970	10398	2452
971	10407	2441
972	10418	2430
973	10427	2419
974	10436	2408
975	10448	2397
976	10460	2387
977	10469	2376
978	10485	2366
979	10498	2356
980	10511	2346
981	10531	2337
982	10545	2327
983	10556	2317
984	10568	2306
985	10581	2296
986	10591	2285
987	10600	2274
988	10609	2263
989	10620	2252
990	10629	2241
991	10641	2231
992	10649	2220
993	10661	2209
994	10671	2198
995	10683	2188
996	10695	2177
997	10705	2166
998	10717	2156
999	10726	2145
1000	10738	2134
1001	10750	2124
1002	10759	2113
1003	10772	2102
1004	10784	2092
1005	10793	2081
1006	10805	2070
1007	10820	2060
1008	10829	2050
1009	10848	2040
1010	10863	2030
1011	10892	2023
1012	10926	2017
1013	10967	2011
1014	11007	2006
1015	11029	1997
1016	11062	1990
1017	11072	1979
1018	11083	1968
1019	11095	1958
1020	11104	1946
1021	11113	1935
1022	11124	1924
1023	11133	1913
1024	11142	1902
1025	11151	1891
1026	11160	1879
1027	11171	1869
1028	11181	1858
1029	11194	1847
1030	11206	1836
1031	11219	1826
1032	11227	1815
1033	11235	1803
1034	11243	1792
1035	11253	1781
1036	11267	1771
1037	11276	1759
1038	11290	1749
1039	11304	1739
1040	11315	1728
1041	11323	1716
1042	11331	1705
1043	11339	1694
1044	11349	1683
1045	11357	1672
1046	11365	1660
1047	11373	1649
1048	11386	1639
1049	11395	1627
1050	11403	1616
1051	11412	1605
1052	11420	1594
1053	11428	1583
1054	11436	1571
1055	11444	1560
1056	11452	1549
1057	11460	1538
1058	11469	1527
1059	11477	1515
1060	11486	1504
1061	11498	1494
1062	11529	1485
1063	11556	1477
1064	11582	1468
1065	11612	1459
1066	11625	1449
1067	11651	1440
1068	11668	1429
1069	11688	1420
1070	11714	1410
1071	11731	1400
1072	11755	1391
1073	11764	1380
1074	11772	1368
1075	11782	1357
1076	11790	1346
1077	11798	1335
1078	11811	1324
1079	11819	1313
1080	11827	1301
1081	11837	1290
1082	11845	1279
1083	11853	1268
1084	11862	1257
1085	11872	1246
1086	11880	1235
1087	11888	1223
1088	11898	1212
1089	11907	1201
1090	11919	1190
1091	11927	1179
1092	11935	1168
1093	11943	1157
1094	11955	1146
1095	11963	1135
1096	11971	1124
1097	11989	1113
1098	11998	1102
1099	12010	1091
1100	12022	1081
1101	12031	1069
1102	12039	1058
1103	12047	1047
1104	12057	1036
1105	12066	1025
1106	12074	1014
1107	12084	1003
1108	12092	992
1109	12100	981
1110	12108	970
1111	12119	959
1112	12133	948
1113	12140	937
1114	12149	926
1115	12157	915
1116	12166	904
1117	12174	892
1118	12182	881
1119	12191	870
1120	12199	859
1121	12207	848
1122	12215	837
1123	12223	826
1124	12235	815
1125	12249	805
1126	12257	793
1127	12266	782
1128	12276	772
1129	12284	760
1130	12292	749
1131	12300	738
1132	12308	727
1133	12316	716
1134	12324	705
1135	12336	694
1136	12344	683
1137	12352	672
1138	12360	661
1139	12369	651
1140	12377	640
1141	12385	629
1142	12393	618
1143	12403	607
1144	12413	596
1145	12420	585
1146	12428	574
1147	12440	563
1148	12447	552
1149	12456	541
1150	12466	530
1151	12474	519
1152	12481	508
1153	12489	497
1154	12497	486
1155	12508	476
1156	12516	465
1157	12524	454
1158	12532	443
1159	12543	432
1160	12551	421
1161	12562	410
1162	12570	399
1163	12579	389
1164	12589	378
1165	12598	367
1166	12607	356
1167	12617	345
1168	12626	334
1169	12634	323
1170	12645	313
1171	12653	302
1172	12661	291
1173	12669	280
1174	12679	269
1175	12687	258
1176	12695	248
1177	12703	237
1178	12714	226
1179	12723	215
1180	12742	204
1181	12758	194
1182	12773	183
1183	12785	172
1184	12797	161
1185	12809	151
1186	12818	140
1187	12826	129
1188	12834	118
1189	12843	107
1190	12852	97
1191	12859	86
1192	12869	75
1193	12877	64
1194	12885	53
1195	12893	43
1196	12902	32
1197	12910	21
1198	12919	10
1199	12927	0
