,0
x0,0.0011583209037780763
x1,0.0003124594688415527
x2,0.00030328035354614257
x3,0.00021308660507202148
x4,0.00017240047454833985
x5,0.0005027532577514648
x6,0.00026764869689941404
x7,0.00027806758880615233
x8,0.0003322482109069824
x9,7.592439651489258e-05
x10,0.00016912221908569336
x11,0.00012087821960449219
x12,0.0002374410629272461
x13,0.0001074075698852539
x14,0.00010344982147216796
x15,0.001076817512512207
x16,0.00014491081237792968
x17,0.00020505189895629882
x18,0.0003141045570373535
x19,0.0002062678337097168
x20,8.499622344970703e-05
x21,9.599924087524414e-05
x22,7.293224334716796e-05
x23,0.00010253190994262696
x24,9.65714454650879e-05
x25,0.0001997709274291992
x26,0.0001233220100402832
x27,0.00242459774017334
x28,5.021095275878906e-05
x29,8.490085601806641e-05
x30,3.235340118408203e-05
x31,0.00022449493408203126
x32,4.6253204345703125e-05
x34,0.00023984909057617188
x35,1.4448165893554688e-05
x36,5.496740341186524e-05
x37,7.68423080444336e-05
x38,0.00012906789779663086
x39,6.804466247558593e-05
x40,0.00011712312698364258
x41,0.00016028881072998046
x42,0.0009745001792907715
x43,0.00013338327407836915
x44,7.485151290893554e-05
x45,2.7644634246826173e-05
x46,6.357431411743164e-05
x47,0.00017353296279907227
x48,3.272294998168945e-05
x49,0.0001334547996520996
x50,5.544424057006836e-05
x51,0.0001634359359741211
x52,0.00013817548751831054
x53,3.9196014404296876e-05
x54,4.9495697021484374e-05
x55,0.00016739368438720704
x56,3.8909912109375e-05
x57,1.5234947204589843e-05
x58,0.0002352595329284668
x59,0.0001282930374145508
x60,5.041360855102539e-05
x61,8.876323699951172e-05
x62,5.615949630737305e-05
x63,3.2973289489746096e-05
x64,7.953643798828126e-05
x65,0.0001150965690612793
x66,3.3688545227050784e-05
x70,9.609460830688477e-05
x71,4.3392181396484375e-05
x72,4.489421844482422e-05
x73,6.968975067138672e-05
x74,3.8242340087890626e-05
x75,5.1975250244140625e-05
x76,7.424354553222656e-05
x77,7.805824279785156e-05
x78,0.00010995864868164062
x79,2.5093555450439453e-05
x80,3.986358642578125e-05
x81,0.0003124117851257324
x82,2.0194053649902344e-05
x83,1.3303756713867187e-05
x84,0.0003310799598693848
x85,8.453130722045899e-05
x86,0.00018595457077026368
x87,0.00019319057464599608
x88,2.7239322662353516e-05
x89,0.0009004116058349609
x90,2.524852752685547e-05
x91,3.001689910888672e-05
x92,0.0025353312492370607
x93,6.36458396911621e-05
x94,1.0991096496582032e-05
x95,7.75456428527832e-05
x96,0.00017157793045043945
x97,3.7157535552978514e-05
x98,0.0002850174903869629
x99,6.258487701416016e-06
x100,7.071495056152344e-05
x101,7.022619247436524e-05
x102,5.004405975341797e-05
x103,8.704662322998047e-05
x105,6.740093231201172e-05
x106,0.00011632442474365234
x107,5.451440811157227e-05
x108,5.710124969482422e-05
x109,2.372264862060547e-05
x110,0.00020183324813842772
x111,2.3150444030761717e-05
x112,0.00010304450988769531
x113,0.001405048370361328
x114,3.415346145629883e-05
x115,0.12253857851028442
x116,6.999969482421876e-05
x117,6.861686706542969e-05
x118,5.3930282592773435e-05
x119,0.00019832849502563477
x120,1.8095970153808595e-05
x121,8.658170700073242e-05
x122,5.083084106445312e-05
x123,0.00010885000228881836
x124,5.218982696533203e-05
x125,8.161067962646485e-05
x126,5.1462650299072264e-05
x127,1.6534328460693358e-05
x128,3.819465637207031e-05
x130,0.0001339554786682129
x131,3.798007965087891e-05
x133,0.005252182483673096
x134,7.845163345336914e-05
x135,0.00016177892684936522
x136,5.272626876831055e-05
x137,0.00015453100204467773
x138,6.747245788574219e-06
x139,7.102489471435546e-05
x140,0.00011019706726074218
x141,0.00016936063766479493
x142,4.930496215820313e-05
x143,7.643699645996094e-05
x144,0.0001583695411682129
x145,2.753734588623047e-05
x146,4.2545795440673825e-05
x148,8.116960525512695e-05
x149,4.5132637023925784e-05
x150,7.433891296386719e-05
x152,0.00014901161193847656
x153,5.9962272644042965e-06
x154,0.00014624595642089843
x155,9.673833847045898e-05
x156,3.7741661071777346e-05
x157,8.672475814819336e-05
x158,8.698701858520508e-05
x159,0.006382083892822266
x160,6.38127326965332e-05
x161,4.934072494506836e-05
x162,0.00015207529067993165
x163,0.0001670241355895996
x164,7.581710815429688e-05
x165,0.00042846202850341795
x167,1.8858909606933592e-05
x168,0.00018264055252075194
x169,7.219314575195313e-05
x170,1.5234947204589843e-05
x171,8.32200050354004e-05
x172,0.00026009082794189455
x173,0.003459179401397705
x174,8.248090744018554e-05
x175,6.846189498901367e-05
x176,0.0002699613571166992
x177,0.0005444049835205078
x178,0.00011541843414306641
x180,1.862049102783203e-05
x181,0.00012534856796264648
x182,0.00018717050552368163
x184,2.9420852661132814e-05
x186,6.691217422485351e-05
x187,4.31060791015625e-05
x188,9.684562683105468e-05
x190,4.466772079467773e-05
x191,0.0001354217529296875
x192,2.529621124267578e-05
x193,0.00020844936370849608
x194,0.0045090198516845705
x197,0.00017232894897460936
x198,2.3686885833740233e-05
x199,0.00016744136810302733
x200,0.0008498787879943848
x201,3.197193145751953e-05
x203,0.0002292513847351074
x204,0.00011353492736816406
x205,3.3915042877197266e-05
x206,1.2850761413574218e-05
x209,0.003399860858917236
x210,0.0002498149871826172
x211,2.6154518127441407e-05
x212,6.366968154907227e-05
x213,6.911754608154296e-05
x214,0.001083683967590332
x215,0.00012568235397338867
x216,8.788108825683594e-05
x217,0.00014560222625732423
x218,9.47713851928711e-05
x219,3.325939178466797e-05
x220,7.045269012451172e-05
x221,4.671812057495117e-05
x222,4.107952117919922e-05
x223,9.543895721435547e-05
x224,0.00012470483779907225
x225,0.0004114508628845215
x226,0.00010542869567871093
x227,6.769895553588867e-05
x228,0.00036067962646484374
x232,0.0003477334976196289
x233,0.00034162998199462893
x234,0.0001099228858947754
x235,3.5309791564941405e-05
x236,8.70823860168457e-05
x237,7.414817810058594e-05
x238,0.00028799772262573243
x239,0.000167691707611084
x241,2.8562545776367187e-05
x242,0.003464710712432861
x243,6.943941116333008e-05
x244,7.092952728271484e-05
x245,0.00018470287322998048
x246,0.00014052391052246093
x247,0.00017479658126831054
x248,8.096694946289063e-05
x249,8.683204650878906e-05
x251,0.00010184049606323242
x252,5.009174346923828e-05
x253,5.83648681640625e-05
x254,0.000338590145111084
x255,4.1377544403076175e-05
x256,7.575750350952148e-05
x257,0.0002318263053894043
x258,7.315874099731446e-05
x259,3.2854080200195315e-05
x260,9.329319000244141e-05
x261,0.00015205144882202148
x263,0.00024595260620117185
x264,9.391307830810546e-05
x265,5.124807357788086e-05
x266,3.844499588012695e-05
x267,0.00010966062545776367
x268,0.00013104677200317382
x269,2.510547637939453e-05
x270,9.626150131225586e-05
x272,0.0004328608512878418
x273,0.00021929740905761718
