run_id,timestamp,Model,best_cv_r2,train_r2,test_r2,test_mae,best_params
20251104_100953,2025-11-04T10:09:53.993097,XGBoost,0.4782,0.9705,0.5053,5.0288,"{""model__subsample"": 0.6, ""model__reg_alpha"": 0.5, ""model__n_estimators"": 400, ""model__max_depth"": 5, ""model__learning_rate"": 0.02, ""model__gamma"": 1, ""model__colsample_bytree"": 0.5}"
50,20251104_102235,2025-11-04T10:22:35.061143,XGBoost,0.5235,0.9981,0.5549,4.7274,"{""model__subsample"": 0.6, ""model__reg_alpha"": 0.1, ""model__n_estimators"": 500, ""model__max_depth"": 12, ""model__learning_rate"": 0.02, ""model__gamma"": 1, ""model__colsample_bytree"": 0.7}"
60,20251104_102638,2025-11-04T10:26:38.081438,XGBoost,0.5486,0.9963,0.5777,4.6471,"{""model__subsample"": 0.6, ""model__reg_alpha"": 0.5, ""model__n_estimators"": 500, ""model__max_depth"": 8, ""model__learning_rate"": 0.02, ""model__gamma"": 1, ""model__colsample_bytree"": 0.7}"
70,20251104_103814,2025-11-04T10:38:14.435939,XGBoost,0.5536,0.9981,0.5809,4.6546,"{""model__subsample"": 0.6, ""model__reg_alpha"": 0.6, ""model__n_estimators"": 600, ""model__max_depth"": 9, ""model__learning_rate"": 0.02, ""model__gamma"": 1, ""model__colsample_bytree"": 0.7}"
100,20251105_224615,2025-11-05T22:46:15.104151,XGBoost,0.5526,0.9982,0.5414,4.7928,"{""model__subsample"": 0.4, ""model__reg_alpha"": 0.5, ""model__n_estimators"": 600, ""model__max_depth"": 9, ""model__learning_rate"": 0.03, ""model__gamma"": 1, ""model__colsample_bytree"": 0.7}"
80,20251105_225441,2025-11-05T22:54:41.546856,XGBoost,0.5513,0.9929,0.554,4.7299,"{""model__subsample"": 0.4, ""model__reg_alpha"": 0.5, ""model__n_estimators"": 600, ""model__max_depth"": 8, ""model__learning_rate"": 0.02, ""model__gamma"": 1, ""model__colsample_bytree"": 0.8}"
75,20251105_230048,2025-11-05T23:00:48.558635,XGBoost,0.5494,0.9983,0.5683,4.7151,"{""model__subsample"": 0.6, ""model__reg_alpha"": 0.6, ""model__n_estimators"": 500, ""model__max_depth"": 8, ""model__learning_rate"": 0.03, ""model__gamma"": 1, ""model__colsample_bytree"": 0.8}"
70,20251105_234232,2025-11-05T23:42:32.500864,XGBoost,0.5588,0.9979,0.5691,4.6589,"{""model__subsample"": 0.55, ""model__reg_alpha"": 0.5, ""model__n_estimators"": 600, ""model__max_depth"": 9, ""model__learning_rate"": 0.02, ""model__gamma"": 1, ""model__colsample_bytree"": 0.8}"
